id,source,target,location,social_distance,text_distance,time_distance,created_at,updated_at
210,    10152202815332800   ,    10202844439564500   ,,,0.0262485408901715,273240.0,2014-07-29 01:21:03 UTC,2014-07-30 21:13:48 UTC
212,    10152202815332800   ,    10203194488116700   ,,,0.0423284524937455,280080.0,2014-07-29 01:21:06 UTC,2014-07-30 21:13:48 UTC
213,    10152202815332800   ,    10152278493009700   ,,,0.0166194614290763,268080.0,2014-07-29 01:21:07 UTC,2014-07-30 21:13:48 UTC
217,    10152202815332800   ,    10152481473374400   ,,,0.148467452928248,272340.0,2014-07-29 01:21:11 UTC,2014-07-30 21:13:48 UTC
219,    10152532065862000   ,    10152137200716000   ,,,0.0459719180381446,159900.0,2014-07-29 01:21:13 UTC,2014-07-30 21:13:48 UTC
220,    10152532065862000   ,    10152532133457028?  ,,,0.125756209190684,6660.0,2014-07-29 01:21:13 UTC,2014-07-30 21:13:48 UTC
222,    10152532065862000   ,    10203771450665200   ,,,0.392050956354644,179460.0,2014-07-29 01:21:15 UTC,2014-07-30 21:13:48 UTC
227,    10152532065862000   ,    10154237556155100   ,,,0.0721591284893937,179460.0,2014-07-29 01:21:21 UTC,2014-07-30 21:13:48 UTC
228,    10152532065862000   ,    10152168324927900   ,,,0.141767403326856,114660.0,2014-07-29 01:21:22 UTC,2014-07-30 21:13:48 UTC
229,    10152532065862000   ,    10154237088440500   ,,,0.323714767094975,105000.0,2014-07-29 01:21:23 UTC,2014-07-30 21:13:48 UTC
232,    10152532065862000   ,    10203795790833000   ,,,0.141767403326856,112980.0,2014-07-29 01:21:26 UTC,2014-07-30 21:13:48 UTC
239,    10152532065862000   ,    10204070474264400   ,,,0.148791037433573,115260.0,2014-07-29 01:21:33 UTC,2014-07-30 21:13:48 UTC
242,    10152532065862000   ,    10154161006850400   ,,,0.111242442703472,101400.0,2014-07-29 01:21:36 UTC,2014-07-30 21:13:48 UTC
245,    10152532065862000   ,    10152194488117800   ,,,0.543771736413102,106020.0,2014-07-29 01:21:39 UTC,2014-07-30 21:13:48 UTC
248,    10152532065862000   ,    10203299566062600   ,,,0.183947326930923,94320.0,2014-07-29 01:21:41 UTC,2014-07-30 21:13:49 UTC
250,    10152532065862000   ,    10203549599554800   ,,,0.0554893491783476,94680.0,2014-07-29 01:21:43 UTC,2014-07-30 21:13:49 UTC
252,    10152532065862000   ,    10154227414975000   ,,,0.0625920620813175,114420.0,2014-07-29 01:21:45 UTC,2014-07-30 21:13:49 UTC
257,    10152532065862000   ,    10152564673903500   ,,,0.543771736413102,95580.0,2014-07-29 01:21:49 UTC,2014-07-30 21:13:49 UTC
268,    10152532065862000   ,    10152481467059800   ,,,0.11063670186371,111060.0,2014-07-29 01:22:01 UTC,2014-07-30 21:13:49 UTC
271,    10152137200716000   ,    10152532133457028?  ,,,0.140997261627857,166560.0,2014-07-29 01:22:04 UTC,2014-07-30 21:13:49 UTC
273,    10152137200716000   ,    10203771450665200   ,,,0.0609539536198084,339360.0,2014-07-29 01:22:07 UTC,2014-07-30 21:13:49 UTC
277,    10152137200716000   ,    10202678444975900   ,,,0.0878607000061798,339360.0,2014-07-29 01:22:11 UTC,2014-07-30 21:13:49 UTC
278,    10152137200716000   ,    10154237556155100   ,,,0.0332558746076451,339360.0,2014-07-29 01:22:12 UTC,2014-07-30 21:13:49 UTC
279,    10152137200716000   ,    10152168324927900   ,,,0.0653361409316681,274560.0,2014-07-29 01:22:13 UTC,2014-07-30 21:13:49 UTC
280,    10152137200716000   ,    10154237088440500   ,,,0.25644326557025,264900.0,2014-07-29 01:22:14 UTC,2014-07-30 21:13:49 UTC
281,    10152137200716000   ,    10152774703559800   ,,,0.154165372125002,275460.0,2014-07-29 01:22:15 UTC,2014-07-30 21:13:49 UTC
283,    10152137200716000   ,    10203795790833000   ,,,0.0653361409316681,272880.0,2014-07-29 01:22:17 UTC,2014-07-30 21:13:50 UTC
284,    10152137200716000   ,    879703545379784 ,,,0.0436232193551611,256200.0,2014-07-29 01:22:18 UTC,2014-07-30 21:13:50 UTC
287,    10152137200716000   ,    10152030233245900   ,,,0.0600965132687,265260.0,2014-07-29 01:22:21 UTC,2014-07-30 21:13:50 UTC
318,    10152137200716000   ,    10203239143112200   ,,,0.236515467659148,,2014-07-29 01:22:45 UTC,2014-07-29 01:22:45 UTC
290,    10152137200716000   ,    10204070474264400   ,,,0.180367819588588,275160.0,2014-07-29 01:22:25 UTC,2014-07-30 21:13:50 UTC
291,    10152137200716000   ,    10203154807607700   ,,,0.0910284645996879,298440.0,2014-07-29 01:22:26 UTC,2014-07-30 21:13:50 UTC
294,    10152137200716000   ,    10152481202984800   ,,,0.0653361409316681,278820.0,2014-07-29 01:22:30 UTC,2014-07-30 21:13:50 UTC
295,    10152137200716000   ,    1431206683815010    ,,,0.0487430208134466,271260.0,2014-07-29 01:22:31 UTC,2014-07-30 21:13:50 UTC
296,    10152137200716000   ,    10152194488117800   ,,,0.0845426765675438,265920.0,2014-07-29 01:22:32 UTC,2014-07-30 21:13:50 UTC
298,    10152137200716000   ,    10152461578970200   ,,,0.0342080372612933,236280.0,2014-07-29 01:22:34 UTC,2014-07-30 21:13:50 UTC
299,    10152137200716000   ,    10203299566062600   ,,,0.0285991314457927,254220.0,2014-07-29 01:22:34 UTC,2014-07-30 21:13:50 UTC
300,    10152137200716000   ,    10154158904980400   ,,,0.0477389513441359,303660.0,2014-07-29 01:22:35 UTC,2014-07-30 21:13:50 UTC
301,    10152137200716000   ,    10203549599554800   ,,,0.0988554898030345,254580.0,2014-07-29 01:22:36 UTC,2014-07-30 21:13:50 UTC
306,    10152137200716000   ,    10152236492148600   ,,,0.0892037701990049,216660.0,2014-07-29 01:22:39 UTC,2014-07-30 21:13:50 UTC
307,    10152137200716000   ,    10152447730470700   ,,,0.15740936509216,266640.0,2014-07-29 01:22:40 UTC,2014-07-30 21:13:50 UTC
308,    10152137200716000   ,    10152564673903500   ,,,0.0845426765675438,255480.0,2014-07-29 01:22:40 UTC,2014-07-30 21:13:50 UTC
309,    10152137200716000   ,    10152411710657800   ,,,0.0678133994411194,282300.0,2014-07-29 01:22:41 UTC,2014-07-30 21:13:50 UTC
310,    10152137200716000   ,    10203966122371900   ,,,0.077074620703785,292260.0,2014-07-29 01:22:41 UTC,2014-07-30 21:13:50 UTC
311,    10152137200716000   ,    10154215500725000   ,,,0.085047861344922,264720.0,2014-07-29 01:22:42 UTC,2014-07-30 21:13:50 UTC
312,    10152137200716000   ,    10152471171597400   ,,,0.131743523555854,258660.0,2014-07-29 01:22:42 UTC,2014-07-30 21:13:50 UTC
316,    10152137200716000   ,    10152278493009700   ,,,0.0939113303323905,261720.0,2014-07-29 01:22:44 UTC,2014-07-30 21:13:50 UTC
319,    10152137200716000   ,    10152481467059800   ,,,0.213441312600165,270960.0,2014-07-29 01:22:46 UTC,2014-07-30 21:13:50 UTC
321,    10152137200716000   ,    10152541500488500   ,,,0.0333010098663502,278340.0,2014-07-29 01:22:47 UTC,2014-07-30 21:13:51 UTC
323,    10152532133457028?  ,    10203771450665200   ,,,0.166739576452991,172800.0,2014-07-29 01:22:48 UTC,2014-07-30 21:13:51 UTC
328,    10152532133457028?  ,    10154237556155100   ,,,0.0909714648083226,172800.0,2014-07-29 01:22:51 UTC,2014-07-30 21:13:51 UTC
329,    10152532133457028?  ,    10152168324927900   ,,,0.178727052456184,108000.0,2014-07-29 01:22:51 UTC,2014-07-30 21:13:51 UTC
331,    10152532133457028?  ,    10152774703559800   ,,,0.167336726339782,108900.0,2014-07-29 01:22:52 UTC,2014-07-30 21:13:51 UTC
333,    10152532133457028?  ,    10203795790833000   ,,,0.178727052456184,106320.0,2014-07-29 01:22:53 UTC,2014-07-30 21:13:51 UTC
334,    10152532133457028?  ,    879703545379784 ,,,0.119331342543656,89640.0,2014-07-29 01:22:54 UTC,2014-07-30 21:13:51 UTC
