32,1608781524,470564738288459777,0,0,0,2014-05-25 13:59:10 UTC,Peace Offering: Israeli, Palestinian Leaders Accept Pope's Invite http://t.co/tbEawit4LA #NBC
33,449875864,470564737386700800,0,0,0,2014-05-25 13:59:10 UTC,Peace Offering: Israeli, Palestinian Leaders Accept Pope's Invite: BETHLEHEM, West Bank  The Israeli and Pale... http://t.co/pt9Xf5JuL3
34,852785274,470564731443372032,0,0,0,2014-05-25 13:59:09 UTC,Israeli and Palestinian Leaders to Meet With Pope at Vatican, via @nytimesmaybe the Pope can do what politicians cant http://t.co/Oz7Z3SedhN
35,1698145614,470564728771993600,0,0,0,2014-05-25 13:59:08 UTC,Peace Offering: Israeli, Palestinian Leaders Accept Pope's Invite: BETHLEHEM, West Bank  The Israeli and Pale... http://t.co/jo8asTmrS0
36,2350675700,470564723260682240,0,0,0,2014-05-25 13:59:07 UTC,Peace Offering: Israeli, Palestinian Leaders Accept Popes Invite http://t.co/ivFpptlLjj
37,2185322210,470564718864637952,0,0,0,2014-05-25 13:59:06 UTC,Peace Offering: Israeli, Palestinian Leaders Accept Pope's Invite http://t.co/bwWWOY2XVY #news
24,1700204558,470564792462479360,2,0,2,2014-05-25 13:59:24 UTC,Israeli, Palestinian leaders accept Vatican invite http://t.co/buTiD55ksi via @YahooNews
38,328081265,470564715220201472,0,0,0,2014-05-25 13:59:05 UTC,lmao RT @BreakingNews: Pope Francis invites Palestinian and Israeli presidents to come to the Vatican to pray for peace - @Reuters
39,633559154,470564709607829506,0,0,0,2014-05-25 13:59:04 UTC,Peace Offering: Israeli, Palestinian Leaders Accept Pope's Invite: BETHLEHEM, West Bank  The Israeli and Pale... http://t.co/LFagmWCtOv
40,1898757852,470564701215014912,0,0,0,2014-05-25 13:59:02 UTC,Peace Offering: Israeli, Palestinian Leaders Accept Pope's Invite: BETHLEHEM, West Bank  The Israeli and Pale... http://t.co/EjTbyMb1Hp
41,162552319,470564698279387137,0,0,0,2014-05-25 13:59:01 UTC,Pope Francis prays at Bethlehem wall, asks for end to Palestinian-Israeli conflict  @BBCWorld &lt;3 http://t.co/Q83qdYXKxw
42,302971361,470564696781619200,11,4,1,2014-05-25 13:59:01 UTC,@nytimes headline on Israeli and Palestinian leaders meeting in Vatican is a bit misleading: it's Peres we're talking about, not Netanyahu
44,358932405,470564690066948097,1,0,1,2014-05-25 13:58:59 UTC,#RT @FoxNews #Israeli, #Palestinian leaders accept #Vatican invite to discuss #peace efforts http://t.co/S7YkzMpfQi  #PopeInPalestine
45,769669604,470564687218606080,0,0,0,2014-05-25 13:58:58 UTC,#NBCnews Peace Offering: Israeli, Palestinian Leaders Accept Pope's Invite: BETHLEHEM, West Bank  The Israeli... http://t.co/G9OokW6TRM
46,1496636870,470564686027448320,0,0,0,2014-05-25 13:58:58 UTC,Peace Offering: Israeli, Palestinian Leaders Accept Pope's Invite: BETHLEHEM, West Bank  The Israeli... http://t.co/3tud2gP0yj @TeamLOA
47,700653624,470564680881029120,0,0,0,2014-05-25 13:58:57 UTC,#stonerdawg!! Peace Offering: Israeli, Palestinian Leaders Accept Pope's Invite: BETHLEHEM, West ... http://t.co/DaCe1r51I7 via @dimkay_
48,1858106748,470564679090069504,0,0,0,2014-05-25 13:58:56 UTC,Peace Offering: Israeli, Palestinian Leaders Accept Pope's Invite http://t.co/wK3O4Ycanf *NOT #Anonymous News
50,1594633962,470564670529470465,0,0,0,2014-05-25 13:58:54 UTC,#NBCNews Peace Offering: Israeli, Palestinian Leaders Accept Pope's Invite: BETHLEHEM, West Ban... http://t.co/WOql5TGMxF #WorldRSSFeeds
51,1707606230,470564668805632001,0,0,0,2014-05-25 13:58:54 UTC,Peace Offering: Israeli, Palestinian Leaders Accept Pope's Invite: BETHLEHEM, West Bank  The Israe... http://t.co/9m72XjerhC - @NBCNews
54,25316967,470564642725445632,0,0,0,2014-05-25 13:58:48 UTC,Israeli and Palestinian Leaders to Meet With Pope at Vatican http://t.co/V0W9XkqPup
55,1849431211,470564639223214080,18,0,0,2014-05-25 13:58:47 UTC,.@Pontifex invited Palestinian and Israeli leaders to his house in the #Vatican,to seek a peaceful solution. @cnalive http://t.co/VS4X7IoWwu
56,554117316,470564624694513664,4,0,0,2014-05-25 13:58:43 UTC,@AP: BREAKING: Israeli, Palestinian presidents confirm they will meet #PopeFrancis at the #Vatican next month. #Israel #Palestine
64,1292224154,470564373111382017,0,0,9,2014-05-25 13:57:43 UTC,Israeli, Palestinian Leaders Accept Vatican Invite: Pope plunges into Mideast politics: Israeli-Palestinian presidents accept joint p...
58,2291904432,470564569534849024,0,0,0,2014-05-25 13:58:30 UTC,Israeli, Palestinian leaders accept Popes invite .. http://t.co/8rmyprHcRX #Nets #NBA
59,14075844,470564537897201665,0,0,0,2014-05-25 13:58:23 UTC,Pope Francis cracks me up. He's not perfect, of course (who is?), but he's a really nice breath of fresh air: http://t.co/fUtCMLWOZW
60,31576778,470564482016489472,0,0,0,2014-05-25 13:58:09 UTC,"@nytimes: Breaking News: Israeli and Palestinian Leaders to Meet With Pope at Vatican\nhttp://t.co/eWof0IOr4e"\n\n#MachiavellianCatastrophe...
61,340681610,470564481332826112,0,0,0,2014-05-25 13:58:09 UTC,#whatshot #news Peace Offering: Israeli, Palestinian Leaders Accept Pope's... http://t.co/FUKZ2PQa6E http://t.co/Vcrq7vOIBX #socialmedia
63,270061599,470564432029175808,0,0,0,2014-05-25 13:57:57 UTC,Pope invites Palestinian, Israeli leaders to Vatican talks http://t.co/2VxPig9Tx0
69,38169764,470564343768031233,0,0,0,2014-05-25 13:57:36 UTC,@toohsuite Pope invites Palestinian, Israeli leaders to Vatican talks
65,1286585142,470564372730089472,4,0,0,2014-05-25 13:57:43 UTC,Pope invites Abbas, Peres to Vatican to pray for peace http://t.co/Xwzg9F4lFg
66,19746988,470564369814671361,0,0,0,2014-05-25 13:57:43 UTC,Israeli and Palestinian Leaders to Meet With Pope at Vatican \n\nWow!\n\nhttp://t.co/e1pBf3sQqM
67,1566087175,470564353213599744,0,0,0,2014-05-25 13:57:39 UTC,Israeli, Palestinian leaders accept Popes invite http://t.co/1xLVALi95g
68,1601668154,470564344968003584,0,0,0,2014-05-25 13:57:37 UTC,(#Houston_0998) Israeli, Palestinian Leaders Accept Vatican Invite: Pope plunges into Mideast ... http://t.co/BNbZq6KCkc (#Houston_0998)
70,2316256039,470564329599672320,0,0,0,2014-05-25 13:57:33 UTC,SHORY03 Israeli, Palestinian Leaders Accept Vatican Invite: Pope plunges into Mideast politics: Israel... http://t.co/LKfvTg6aSr SHORY03
71,266690646,470564323077931008,3,0,0,2014-05-25 13:57:31 UTC,Pope Francis says Israeli-Palestinian conflict unacceptable http://t.co/9WEWyPYsLo
72,1727521014,470564321026531328,0,0,0,2014-05-25 13:57:31 UTC,(#Houston_0998) Israeli, Palestinian Leaders Accept Vatican Invite: Pope plunges into Mideast ... http://t.co/TSa5dL4FUG (#Houston_0998)
43,2334141415,470564694303191040,0,0,1,2014-05-25 13:59:00 UTC,Peace Offering: Israeli, Palestinian Leaders Accept Popes Invite http://t.co/FjJ9F4O45k
49,1227854335,470564675453603842,45,0,3,2014-05-25 13:58:55 UTC,Within an hour of Francis' peace call, both Israeli and Palestinian presidents accept Domus invite; meeting in June: http://t.co/am7sgrDVRW
52,20228796,470564658890698753,286,0,5,2014-05-25 13:58:52 UTC,Pope Francis calls for end to "increasingly unacceptable" Palestinian-Israeli conflict\nhttp://t.co/QIcPUkhlJK http://t.co/r7ucNhEgaX
62,2291195798,470564459270787073,0,0,2,2014-05-25 13:58:04 UTC,jamelespinal3 Israeli, Palestinian Leaders Accept Vatican Invite: Pope plunges into Mideast poli... http://t.co/WLvdH7Wupz jamelespinal3
53,1849431211,470564652171001857,444,0,7,2014-05-25 13:58:50 UTC,BREAKING: Israeli, Palestinian presidents confirm they will meet Pope Francis at the Vatican next month.
57,17418804,470564596995358720,2,0,2,2014-05-25 13:58:37 UTC,Top story: BBC News - Pope urges end to "unacceptable" Israeli-Palestinian conf... http://t.co/DzDr7ovlwf, see more http://t.co/BzmhaQlrlQ
73,564862201,470564312776331264,0,0,0,2014-05-25 13:57:29 UTC,(#Houston_0998) Israeli, Palestinian Leaders Accept Vatican Invite: Pope plunges into Mideast ... http://t.co/gxPft0XpxW (#Houston_0998)
74,2316271860,470564296309493760,0,0,0,2014-05-25 13:57:25 UTC,(#Houston_0998) Israeli, Palestinian Leaders Accept Vatican Invite: Pope plunges into Mideast ... http://t.co/74VHDzo2xM (#Houston_0998)
75,2316271860,470564288814272514,0,0,0,2014-05-25 13:57:23 UTC,(#Houston_0998) Israeli, Palestinian Leaders Accept Vatican Invite: Pope plunges into Mideast ... http://t.co/7np4cJf38c (#Houston_0998)
76,1688276568,470564279800696834,0,0,0,2014-05-25 13:57:21 UTC,(#Houston_0998) Israeli, Palestinian Leaders Accept Vatican Invite: Pope plunges into Mideast ... http://t.co/pBIaht2v0K (#Houston_0998)
77,617249060,470564278659850240,0,0,0,2014-05-25 13:57:21 UTC,Israeli and Palestinian Leaders to Meet With Pope at Vatican. Pope Backs Palestinian State. http://t.co/jq63uI0sqq
78,555269124,470564271495970817,0,0,0,2014-05-25 13:57:19 UTC,Israeli, Palestinian Leaders Accept Vatican Invite: Pope plunges into Mideast politics: Israeli-Palestinian pr... http://t.co/A5TaOTPaeZ
80,221543326,470564255222497280,0,0,0,2014-05-25 13:57:15 UTC,@nytimes: Breaking News: Israeli and Palestinian Leaders to Meet With Pope at Vatican\nhttp://t.co/7bYZD8BrQx
81,2334984050,470564255100452865,0,0,0,2014-05-25 13:57:15 UTC,#TyoNews Israeli, Palestinian Leaders Accept Vatican Invite: Pope plunges into Mideast politics: Israeli... http://t.co/RifEcw7Pqo #News
82,319750177,470564247853101056,95,26,1,2014-05-25 13:57:14 UTC,CNN footage shows Israeli soldier shooting at Palestinian child. (1:53 mark). That fake too? http://t.co/zAddbx722h http://t.co/wdUz6AAJ2G
83,2290568168,470564247131267072,0,0,0,2014-05-25 13:57:13 UTC,#TyoNews Israeli, Palestinian Leaders Accept Vatican Invite: Pope plunges into Mideast politics: Israeli... http://t.co/hwFCtiJxBs #News
84,1608522733,470564247093915648,0,0,0,2014-05-25 13:57:13 UTC,(#On_Swager_1) Israeli, Palestinian Leaders Accept Vatican Invite: Pope plunges into Mideast po... http://t.co/wxU67vHLzP (#On_Swager_1)
97,334384987,470564180060151808,0,0,1,2014-05-25 13:56:57 UTC, #GusttosoTeama Israeli, Palestinian Leaders Accept Vatican Invite: Pope plunges into ... http://t.co/0vclZnGHNs #GusttosoTeama 
87,726473785,470564231729774592,0,0,0,2014-05-25 13:57:10 UTC,Israeli, Palestinian leaders accept Vatican invite http://t.co/BFahC59VYv
88,2271783445,470564230437945344,0,0,0,2014-05-25 13:57:09 UTC,http://t.co/m3GF4wd47X-  Israeli, Palestinian leaders accept Vatican invite http://t.co/I0eu74s1gV
89,1688276568,470564229661986816,0,0,0,2014-05-25 13:57:09 UTC,(#On_Swager_1) Israeli, Palestinian Leaders Accept Vatican Invite: Pope plunges into Mideast po... http://t.co/ny1q9Oy6L7 (#On_Swager_1)
90,34374919,470564221147545600,0,0,0,2014-05-25 13:57:07 UTC,Israeli, Palestinian leaders accept Vatican invite http://t.co/yjcOeFquOs
91,2290147834,470564220375797761,0,0,0,2014-05-25 13:57:07 UTC,(#On_Swager_1) Israeli, Palestinian Leaders Accept Vatican Invite: Pope plunges into Mideast po... http://t.co/N0NV3yxx3d (#On_Swager_1)
92,2293401175,470564218744209408,0,0,0,2014-05-25 13:57:07 UTC,Israeli, Palestinian leaders accept Popes invite http://t.co/rstyjDvWfJ
93,882433320,470564216135372801,0,0,0,2014-05-25 13:57:06 UTC,Pope Francis Boldly Invites Israeli and Palestinian Presidents to Vatican - The Wire http://t.co/fzJK896p03
94,528829450,470564215590510592,0,0,0,2014-05-25 13:57:06 UTC,UPDATE: Peace Offering: Israeli, Palestinian Leaders Accept Pope's Invite http://t.co/Ix57HDSQWi
95,1616079354,470564212230479872,0,0,0,2014-05-25 13:57:05 UTC, #GusttosoTeama Israeli, Palestinian Leaders Accept Vatican Invite: Pope plunges into ... http://t.co/CnUplDSXKS #GusttosoTeama 
