21,19,2
21,20,2
27,26,1
27,240,1
27,32,1
62,60,2
62,61,2
63,60,2
63,61,2
63,62,2
30,60,2
30,61,2
30,62,2
186,181,1
64,60,2
64,61,2
64,62,2
64,63,2
64,30,2
65,60,2
65,61,2
65,62,2
65,63,2
65,30,2
65,64,2
66,60,2
66,61,2
66,62,2
186,185,1
188,51,1
66,64,2
66,65,2
73,71,1
73,72,1
79,77,1
79,78,1
87,85,1
87,86,1
88,85,1
88,86,1
88,87,1
30,89,1
91,89,1
91,90,1
7,89,1
7,90,1
96,94,1
96,95,1
101,100,1
101,51,1
102,100,1
102,51,1
102,101,1
103,100,1
103,51,1
103,101,1
103,102,1
108,109,1
148,148,3
108,113,1
148,151,1
108,114,1
108,115,1
155,154,1
108,116,1
108,108,6
108,117,1
125,124,1
125,123,2
125,128,1
129,130,1
129,137,1
129,129,3
129,139,1
143,144,1
30,156,2
143,145,1
143,143,5
148,149,1
188,187,1
148,150,1
66,156,1
66,63,3
66,30,3
157,156,1
157,63,1
157,30,1
157,66,1
155,153,2
155,151,1
158,159,1
196,194,1
158,160,1
158,158,3
158,161,1
171,172,1
180,178,1
180,179,1
181,178,1
181,179,1
181,180,1
182,178,1
182,179,1
182,180,1
182,181,1
181,183,1
181,184,1
185,183,1
185,184,1
185,181,1
186,183,1
186,184,1
196,195,1
207,194,1
207,206,1
214,156,1
214,63,1
204,220,1
204,221,1
51,233,1
51,234,1
27,25,3
171,249,1
171,247,1
171,171,3
254,252,1
254,253,1
143,146,2
30,90,2
30,63,4
91,30,2
7,30,2
260,258,1
260,259,1
51,258,1
51,259,1
51,260,1
261,258,1
261,259,1
261,260,1
261,51,1
276,276,1
276,277,1
143,280,1
292,291,1
292,51,1
306,304,1
306,305,1
307,304,1
307,305,1
307,306,1
308,304,1
308,305,1
308,306,1
308,307,1
309,304,1
309,305,1
309,306,1
309,307,1
309,308,1
310,304,1
310,305,1
310,306,1
310,307,1
310,308,1
310,309,1
7,257,2
328,326,1
328,327,1
335,334,1
338,336,2
338,337,2
335,333,2
335,339,1
348,121,1
348,347,1
351,121,1
351,347,1
367,365,1
367,366,1
369,368,1
369,370,1
369,371,1
369,373,1
369,374,1
369,333,6
369,375,1
381,381,1
381,382,1
66,395,1
66,396,1
30,395,1
30,396,1
30,66,1
409,407,1
409,408,1
156,90,1
156,63,1
378,376,2
378,377,2
91,421,1
7,421,1
7,91,4
343,30,1
343,421,1
343,91,1
343,7,1
427,425,1
427,426,1
